n,r,m
"(:临床常见问题 {name: ""获得性神经肌病""})",[:有症状],"(:症状 {name: ""对称性四肢无力""})"
"(:临床常见问题 {name: ""获得性神经肌病""})",[:有症状],"(:症状 {name: ""脱机困难""})"
"(:临床常见问题 {name: ""获得性神经肌病""})",[:有症状],"(:症状 {name: ""腱反射减退或消失""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:康复评估],"(:康复量表 {name: ""格拉斯哥昏迷评分量表（Glasgow coma scale，GCS）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:康复评估],"(:康复量表 {name: ""全面无反应评分量表(full outline of unresponsiveness, FOUR)\u0002""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:康复评估],"(:康复量表 {name: ""修订昏迷恢复量表(coma recovery scale revised， CRS-R）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:康复评估],"(:康复量表 {name: ""格拉斯哥昏迷结局评分量表（Glasgow outcome scale GOS）""})"
"(:临床常见问题 {name: ""谵妄""})",[:康复评估],"(:康复量表 {name: ""监护室患者意识模糊评估法（confusion assessment method for the ICU, CAM-ICU）\u0002""})"
"(:临床常见问题 {name: ""谵妄""})",[:康复评估],"(:康复量表 {name: ""谵妄筛查量表（intensive care delirium screening checklist，ICDSC）\u0002""})"
"(:临床常见问题 {name: ""抑郁""})",[:康复评估],"(:康复量表 {name: ""抑郁自评量表（SDS）""})"
"(:临床常见问题 {name: ""抑郁""})",[:康复评估],"(:康复量表 {name: ""汉密尔顿 抑郁量表（HAMD）""})"
"(:临床常见问题 {name: ""疼痛""})",[:康复评估],"(:康复量表 {name: ""数字评分法（numerical rating scale, NRS）""})"
"(:临床常见问题 {name: ""疼痛""})",[:康复评估],"(:康复量表 {name: ""面部表情评分法""})"
"(:临床常见问题 {name: ""疼痛""})",[:康复评估],"(:康复量表 {name: ""非语言疼痛评分""})"
"(:临床常见问题 {name: ""镇静""})",[:康复评估],"(:康复量表 {name: ""Richmond躁动镇静评分""})"
"(:临床常见问题 {name: ""镇静""})",[:康复评估],"(:康复量表 {name: ""Ricker镇静-躁动评分""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:康复评估],"(:康复量表 {name: ""改良Wells评分""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅰ级""})",[:康复评估],"(:康复量表 {name: ""GCS评分""})"
"(:临床常见问题 {name: ""营养不良""})",[:康复评估],"(:康复量表 {name: ""营养风险筛查 2002 量表（nutrition risk score 2002，NRS 2002）""})"
"(:临床常见问题 {name: ""营养不良""})",[:康复评估],"(:康复量表 {name: ""营养不良通用筛查工具（malnutrition universal screening tool，MUST）""})"
"(:临床常见问题 {name: ""营养不良""})",[:康复评估],"(:康复量表 {name: ""主观全面评估（subjective global assessment， SGA）""})"
"(:临床常见问题 {name: ""肩痛""})",[:康复评估],"(:康复量表 {name: ""肌肉骨骼评估""})"
"(:临床常见问题 {name: ""肩痛""})",[:康复评估],"(:康复量表 {name: ""痉挛状态评估""})"
"(:临床常见问题 {name: ""肩痛""})",[:康复评估],"(:康复量表 {name: ""肩关节半脱位识别""})"
"(:临床常见问题 {name: ""肩痛""})",[:康复评估],"(:康复量表 {name: ""局部感觉障碍检查""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:其他检查],"(:临床检查 {name: ""脑电图（EEG）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:其他检查],"(:临床检查 {name: ""诱发电位（evoked potential，EP）""})"
"(:临床常见问题 {name: ""尿崩症""})",[:其他检查],"(:临床检查 {name: ""尿常规""})"
"(:临床常见问题 {name: ""尿崩症""})",[:其他检查],"(:临床检查 {name: ""血尿电解质""})"
"(:临床常见问题 {name: ""尿崩症""})",[:其他检查],"(:临床检查 {name: ""CVP监测""})"
"(:临床常见问题 {name: ""尿崩症""})",[:其他检查],"(:临床检查 {name: ""有创血流动力学监测""})"
"(:临床常见问题 {name: ""尿崩症""})",[:其他检查],"(:临床检查 {name: ""定时血常规""})"
"(:临床常见问题 {name: ""脑积水""})",[:其他检查],"(:临床检查 {name: ""腰穿""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:其他检查],"(:临床检查 {name: ""腰椎穿刺测压""})"
"(:临床常见问题 {name: ""颅内高压""})",[:其他检查],"(:临床检查 {name: ""腰大池穿刺测压""})"
"(:临床常见问题 {name: ""颅内高压""})",[:其他检查],"(:临床检查 {name: ""颅内有创测 压方式""})"
"(:临床常见问题 {name: ""癫痫""})",[:其他检查],"(:临床检查 {name: ""脑电图""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""血常规""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""电解质""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""血尿素氮""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""肌酐""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""心肌损伤标志物""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""血糖""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:其他检查],"(:临床检查 {name: ""血气""})"
"(:临床常见问题 {name: ""慢性心力衰竭""})",[:其他检查],"(:临床检查 {name: ""心脏彩超""})"
"(:临床常见问题 {name: ""慢性心力衰竭""})",[:其他检查],"(:临床检查 {name: ""心电图""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:其他检查],"(:临床检查 {name: ""血尿素氮≥7.14mmol/L""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:其他检查],"(:临床检查 {name: ""氧合指数≤250mmHg""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:其他检查],"(:临床检查 {name: ""呼吸频率≥30 次/min""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:其他检查],"(:临床检查 {name: ""血浆D-二聚体测定""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:其他检查],"(:临床检查 {name: ""彩色多普勒超声""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:其他检查],"(:临床检查 {name: ""凝血功能监测""})"
"(:临床常见问题 {name: ""获得性神经肌病""})",[:其他检查],"(:临床检查 {name: ""血清肌酸激酶测定""})"
"(:临床常见问题 {name: ""获得性神经肌病""})",[:其他检查],"(:临床检查 {name: ""电生理检查""})"
"(:临床常见问题 {name: ""获得性神经肌病""})",[:其他检查],"(:临床检查 {name: ""肌肉活检""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅳ级""})",[:其他检查],"(:临床检查 {name: ""上消化道内镜检查""})"
"(:临床常见问题 {name: ""营养不良""})",[:其他检查],"(:临床检查 {name: ""代谢车测定""})"
"(:临床常见问题 {name: ""营养不良""})",[:其他检查],"(:临床检查 {name: ""Faisy预测公式""})"
"(:临床常见问题 {name: ""营养不良""})",[:其他检查],"(:临床检查 {name: ""Penn State预测公式""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关药物],"(:药物 {name: ""金刚烷胺""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关药物],"(:药物 {name: ""溴隐亭""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关药物],"(:药物 {name: ""多巴丝肼""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关药物],"(:药物 {name: ""盐酸纳洛酮""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关药物],"(:药物 {name: ""酒石酸唑吡坦""})"
"(:临床常见问题 {name: ""谵妄""})",[:相关药物],"(:药物 {name: ""右美托咪啶""})"
"(:临床常见问题 {name: ""谵妄""})",[:相关药物],"(:药物 {name: ""丙泊酚""})"
"(:临床常见问题 {name: ""恐惧""})",[:相关药物],"(:药物 {name: ""阿普唑仑""})"
"(:临床常见问题 {name: ""抑郁""})",[:相关药物],"(:药物 {name: ""帕罗西汀""})"
"(:临床常见问题 {name: ""抑郁""})",[:相关药物],"(:药物 {name: ""舍曲林""})"
"(:临床常见问题 {name: ""抑郁""})",[:相关药物],"(:药物 {name: ""文拉法辛""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关药物],"(:药物 {name: ""加巴喷丁""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关药物],"(:药物 {name: ""普瑞巴林""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关药物],"(:药物 {name: ""拉莫三嗪""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关药物],"(:药物 {name: ""苯妥英钠""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关药物],"(:药物 {name: ""卡马西平""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关药物],"(:药物 {name: ""阿米替林""})"
"(:临床常见问题 {name: ""镇静""})",[:相关药物],"(:药物 {name: ""芬太尼""})"
"(:临床常见问题 {name: ""镇静""})",[:相关药物],"(:药物 {name: ""瑞芬太尼""})"
"(:临床常见问题 {name: ""镇静""})",[:相关药物],"(:药物 {name: ""丙泊酚""})"
"(:临床常见问题 {name: ""镇静""})",[:相关药物],"(:药物 {name: ""咪达唑仑""})"
"(:临床常见问题 {name: ""镇静""})",[:相关药物],"(:药物 {name: ""右美托咪啶""})"
"(:临床常见问题 {name: ""尿崩症""})",[:相关药物],"(:药物 {name: ""醋酸去氨加压素片""})"
"(:临床常见问题 {name: ""尿崩症""})",[:相关药物],"(:药物 {name: ""垂体后叶素""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关药物],"(:药物 {name: ""咖啡因""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""溴隐亭""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""多巴丝肼""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""盐酸氯丙嗪""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""氟哌啶醇""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""咪达唑仑""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""地西泮""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""氯硝西泮""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""吗啡""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""可乐定""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""哌唑嗪""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""普萘洛尔""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""丹曲林""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:相关药物],"(:药物 {name: ""巴氯芬""})"
"(:临床常见问题 {name: ""癫痫""})",[:相关药物],"(:药物 {name: ""加巴喷丁""})"
"(:临床常见问题 {name: ""癫痫""})",[:相关药物],"(:药物 {name: ""拉莫三嗪""})"
"(:临床常见问题 {name: ""癫痫""})",[:相关药物],"(:药物 {name: ""卡马西平""})"
"(:临床常见问题 {name: ""室上性心动过速""})",[:相关药物],"(:药物 {name: ""腺苷""})"
"(:临床常见问题 {name: ""室上性心动过速""})",[:相关药物],"(:药物 {name: ""维拉帕米""})"
"(:临床常见问题 {name: ""室上性心动过速""})",[:相关药物],"(:药物 {name: ""美托洛尔""})"
"(:临床常见问题 {name: ""室上性心动过速""})",[:相关药物],"(:药物 {name: ""艾司洛尔""})"
"(:临床常见问题 {name: ""心房颤动""})",[:相关药物],"(:药物 {name: ""美托洛尔""})"
"(:临床常见问题 {name: ""心房颤动""})",[:相关药物],"(:药物 {name: ""艾司洛尔""})"
"(:临床常见问题 {name: ""心房颤动""})",[:相关药物],"(:药物 {name: ""地高辛""})"
"(:临床常见问题 {name: ""心房颤动""})",[:相关药物],"(:药物 {name: ""胺碘酮""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:相关药物],"(:药物 {name: ""利多卡因""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:相关药物],"(:药物 {name: ""胺碘酮""})"
"(:临床常见问题 {name: ""室性心动过速""})",[:相关药物],"(:药物 {name: ""镁剂""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:相关药物],"(:药物 {name: ""普通肝素""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:相关药物],"(:药物 {name: ""低分子肝素""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:相关药物],"(:药物 {name: ""利伐沙班""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅱ级""})",[:相关药物],"(:药物 {name: ""阿片类药物""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅱ级""})",[:相关药物],"(:药物 {name: ""儿茶酚胺""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅲ级""})",[:相关药物],"(:药物 {name: ""PPI""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅲ级""})",[:相关药物],"(:药物 {name: ""H2RB""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅳ级""})",[:相关药物],"(:药物 {name: ""PPI""})"
"(:临床常见问题 {name: ""急性胃肠损伤Ⅳ级""})",[:相关药物],"(:药物 {name: ""H2RB""})"
"(:临床常见问题 {name: ""严重腹胀""})",[:相关药物],"(:药物 {name: ""新斯的明""})"
"(:临床常见问题 {name: ""骨质疏松""})",[:相关药物],"(:药物 {name: ""维生素 D""})"
"(:临床常见问题 {name: ""肩痛""})",[:相关药物],"(:药物 {name: ""对乙酰氨基酚""})"
"(:临床常见问题 {name: ""肩痛""})",[:相关药物],"(:药物 {name: ""布洛芬""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""二膦酸盐""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""糖皮质激素""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""非甾体抗炎药""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""抗惊厥类""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""抗抑郁类""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""阿片类""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""NMDA受体拮抗剂""})"
"(:临床常见问题 {name: ""复合性区域疼痛综合征（complex regional pain syndrome，CRPS）""})",[:相关药物],"(:药物 {name: ""表面镇痛剂""})"
"(:临床常见问题 {name: ""尿失禁""})",[:相关药物],"(:药物 {name: ""抗胆碱能药物""})"
"(:临床常见问题 {name: ""尿潴留""})",[:相关药物],"(:药物 {name: ""坦索罗辛""})"
"(:临床常见问题 {name: ""尿潴留""})",[:相关药物],"(:药物 {name: ""多沙唑嗪""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关治疗],"(:临床措施 {name: ""高压氧治疗""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关治疗],"(:临床措施 {name: ""神经电刺激治疗""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关治疗],"(:临床措施 {name: ""感觉刺激治疗""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:相关治疗],"(:临床措施 {name: ""穴位针刺促醒""})"
"(:临床常见问题 {name: ""恐惧""})",[:相关治疗],"(:临床措施 {name: ""心理疏导和慰籍""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关治疗],"(:临床措施 {name: ""VR 辅助催眠""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关治疗],"(:临床措施 {name: ""rTMS""})"
"(:临床常见问题 {name: ""脑卒中后中枢性疼痛（central poststroke pain，CPSP）""})",[:相关治疗],"(:临床措施 {name: ""运动皮质刺激""})"
"(:临床常见问题 {name: ""重型颅脑损伤""})",[:相关治疗],"(:临床措施 {name: ""亚低温治疗""})"
"(:临床常见问题 {name: ""重型颅脑损伤""})",[:相关治疗],"(:临床措施 {name: ""隆德概念集束化治疗""})"
"(:临床常见问题 {name: ""轻中型颅脑损伤""})",[:相关治疗],"(:临床措施 {name: ""最小化镇静策略""})"
"(:临床常见问题 {name: ""尿崩症""})",[:相关治疗],"(:临床措施 {name: ""避免使用脱水药物""})"
"(:临床常见问题 {name: ""尿崩症""})",[:相关治疗],"(:临床措施 {name: ""严密监测24h水出入量""})"
"(:临床常见问题 {name: ""脑积水""})",[:相关治疗],"(:临床措施 {name: ""内镜下三脑室底造瘘 术""})"
"(:临床常见问题 {name: ""脑积水""})",[:相关治疗],"(:临床措施 {name: ""脑室腹腔分流""})"
"(:临床常见问题 {name: ""脑积水""})",[:相关治疗],"(:临床措施 {name: ""腰大池腹腔分流""})"
"(:临床常见问题 {name: ""脑积水""})",[:相关治疗],"(:临床措施 {name: ""中医药活血化瘀""})"
"(:临床常见问题 {name: ""脑积水""})",[:相关治疗],"(:临床措施 {name: ""三焦疏通法""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""硬膜外血补丁""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""卧床休息""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""大量饮水""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""静脉补液""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""经脑室或腰穿鞘内注入生理盐水""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""手术修补瘘口""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""缓解血管痉挛""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:相关治疗],"(:临床措施 {name: ""纠正水电解质酸碱平衡、 休克和脱水""})"
"(:临床常见问题 {name: ""颅内高压""})",[:相关治疗],"(:临床措施 {name: ""头高位体位""})"
"(:临床常见问题 {name: ""颅内高压""})",[:相关治疗],"(:临床措施 {name: ""纠正低血压和低血容量""})"
"(:临床常见问题 {name: ""颅内高压""})",[:相关治疗],"(:临床措施 {name: ""维持适当血压，保持脑灌注压""})"
"(:临床常见问题 {name: ""颅内高压""})",[:相关治疗],"(:临床措施 {name: ""气道管理""})"
"(:临床常见问题 {name: ""颅内高压""})",[:相关治疗],"(:临床措施 {name: ""控制体温至正常或偏低水平""})"
"(:临床常见问题 {name: ""颅内高压""})",[:相关治疗],"(:临床措施 {name: ""镇痛、镇静""})"
